cataloger,bookid,count,title,author,combinedName,authorOfColor,nonPersonAuthor,yrpub,neighborhood,collection,age,type,category1,category2,publication,media,summary,deweywording,subjects,deweydec,languages,originalLang,lcclassification,isbn
H,168635671,1,Eloise and the Snowman,"Thompson, Kay",Kay Thompson,0,0,2006,Central District,CentralDistrict4,Childrens,Fiction,Null,Null,"Simon Spotlight (2006), Edition: English Language, 32 pages",Paperback,Eloise and the Snowman by Kay Thompson (2006),,,,English,English,PZ7 .M47841375,[0689874510]
H,168635704,1,December Secrets (The Kids of the Polk Street School),"Giff, Patricia Reilly",Patricia Reilly Giff,0,0,1997,Central District,CentralDistrict4,Childrens,Fiction,Null,Null,"Yearling (1997), Edition: 22nd, 80 pages",Paperback,December Secrets (The Kids of the Polk Street School) by Patricia Reilly Giff (1997),American And Canadian > Fiction > Literature,,813,English,English,PZ7 .G3626,[0440417953]
H,168635710,1,Teddy's Trip to Africa,"Farnham, Arthur L.",Arthur L. Farnham,0,0,1982,Central District,CentralDistrict4,Childrens,Fiction,Null,Null,"Vantage Press, Incorporated (1982)",Hardcover,Teddy's Trip to Africa by Arthur L. Farnham (1982),,,,,,,[0533052882]
H,168635721,1,"The Horse & the Iron Ball: A Journey Through Time, Space, and Technology","Allan, Jerry",Jerry Allan,0,0,2000,Central District,CentralDistrict4,Childrens,Nonfiction,Null,Null,"Lerner Pub Group (2000), 48 pages",Hardcover,"The Horse & the Iron Ball: A Journey Through Time, Space, and Technology by Jerry Allan (2000)",Astronomical objects and astrophysics > Astronomy > Mathematics and Science > Universe,,523.1,English,English,QB983 .A45,[082252158X]
H,168635682,1,"FŸhlen und Begreifen, Zuhause",0,null,0,0,1999,Central District,CentralDistrict4,Childrens,Fiction,Null,Null,Ars Edition (1999),Hardcover,"FŸhlen und Begreifen, Zuhause (1999)",,,,German,German,,[376077184X]
H,168635689,1,Child's Guide to the Mass,"Stanton, Sue",Sue Stanton,0,0,2001,Central District,CentralDistrict4,Childrens,Nonfiction,Religion,Null,"Paulist Press (2001), Edition: English Language, 32 pages",Hardcover,Child's Guide to the Mass by Sue Stanton (2001),"Christian organization, social work, worship > Public Worship; Ritual > Religion  > Roman Catholic ritual",Catholic Church > Liturgy|Mass > Celebration|Mass > Celebration > Juvenile literature,264.02036,"English, Spanish",English,BX2230.2 .S73,[9780809166824]
H,168220972,1,The Winning Goal (Hey Jack!),"Rippin, Sally",Sally Rippin,0,0,2013,Columbia City,ColumbiaCity1,Childrens,Fiction,Null,Null,"Kane Miller (2013), 43 pages",Paperback,The Winning Goal (Hey Jack!) by Sally Rippin (2013),American And Canadian > Fiction > Literature,,813,English,English,PZ7,[1610671236]
H,168224521,1,Otherwise Known as Sheila the Great,"Blume, Judy",Judy Blume,0,0,2007,Columbia City,ColumbiaCity3,Childrens,Fiction,Null,Null,"Puffin Books (2007), 176 pages",Paperback,Otherwise Known as Sheila the Great by Judy Blume (2007),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Children's stories|Conduct of life > Fiction|Friendship > Fiction|Self-acceptance > Fiction|Tarrytown (N.Y.) > Fiction|Vacations > Fiction,813.54,English,English,PZ7 .B6265,[0142408794]
H,168225726,1,Nicholas,"Goscinny, Rene",Rene Goscinny,0,0,2005,Columbia City,ColumbiaCity4,Childrens,Fiction,Null,Null,"Phaidon Press (2005), Edition: Translation, 136 pages",Hardcover,Nicholas by Rene Goscinny (2005),Language > Language > Language,"Goscinny, 1926-1977 > Translations into English|Human behavior > Juvenile fiction|Humorous stories > Juvenile Fiction|Humorous stories > Juvenile fiction|Schools > Juvenile Fiction|Schools > Juvenile fiction",400,English,English,PZ23,[0714845299]
H,168225668,1,"The Wild, Wild West (Geronimo Stilton, No. 21)","Stilton, Geronimo",Geronimo Stilton,0,0,2005,Columbia City,ColumbiaCity4,Childrens,Fiction,Null,Null,"Scholastic (2005), Edition: 1rst PRINTING, 128 pages",Paperback,"The Wild, Wild West (Geronimo Stilton, No. 21) by Geronimo Stilton (2005)",1900- > 21st Century > Italian > Italian fiction > Literature,"Humorous stories|Journalists > Fiction|Mice > Fiction|Mice > Juvenile fiction|Rats > Fiction|Rats > Juvenile fiction|Stilton, Geronimo (Fictitious character) > Juvenile fiction|West (U.S.) > Fiction|West (U.S.) > Juvenile fiction",853.92,"English, Italian",English,PZ7 .W645769,[0439691443]
H,168225678,1,"Valentine's Day Disaster (Geronimo Stilton, No. 23)","Stilton, Geronimo",Geronimo Stilton,0,0,2006,Columbia City,ColumbiaCity4,Childrens,Fiction,Null,Null,"Scholastic Paperbacks (2006), Edition: Reissue, 128 pages",Paperback,"Valentine's Day Disaster (Geronimo Stilton, No. 23) by Geronimo Stilton (2006)",1900- > 1945-1999 > 20th Century > Italian > Italian fiction > Literature,"Humorous Stories|Humorous stories|Journalists > Fiction|Mice > Fiction|Mice > Juvenile fiction|Mice > fiction|Stilton, Geronimo (Fictitious character) > Juvenile fiction|Valentines > Fiction|Valentines > Juvenile fiction|humorous stories",853.914,English,English,PZ7 .V2523,[9780439691475]
H,168225682,1,"Surf's Up, Geronimo! (Geronimo Stilton, No. 20)","Stilton, Geronimo",Geronimo Stilton,0,0,2005,Columbia City,ColumbiaCity4,Childrens,Fiction,Null,Null,"Scholastic Paperbacks (2005), Edition: Reissue, 128 pages",Paperback,"Surf's Up, Geronimo! (Geronimo Stilton, No. 20) by Geronimo Stilton (2005)","Authors, Italian and Italian miscellany > Italian > Literature",,858,English,English,PZ7 .S965612,[0439691435]
H,168225684,1,"Save the White Whale! (Geronimo Stilton, No. 45)","Stilton, Geronimo",Geronimo Stilton,0,0,2011,Columbia City,ColumbiaCity4,Childrens,Fiction,Null,Null,"Scholastic Paperbacks (2011), 128 pages",Paperback,"Save the White Whale! (Geronimo Stilton, No. 45) by Geronimo Stilton (2011)",1900- > 1945-1999 > 20th Century > Italian > Italian fiction > Literature,,853.914,English,English,PZ7 .S2617,[0545103770]
A,168422230,1,Thomas Goes Fishing (Thomas & Friends) (Step into Reading),"Awdry, Rev. W.",Rev. W. Awdry,0,0,2005,Laurelhurst,Laurelhurst1,Childrens,Fiction,Null,Null,"Random House Books for Young Readers (2005), 32 pages",Paperback,Thomas Goes Fishing (Thomas & Friends) (Step into Reading) by Rev. W. Awdry (2005),Africa > Biography and History > West Africa,,966,English,English,PZ7 .T36949735,[0375831185]
A,168426214,1,Star Wars: Jedi Quest: The Trail of the Jedi: Jedi Quest #02: The Trail Of The Jedi,"Watson, Jude",Jude Watson,0,0,2002,Laurelhurst,Laurelhurst3,Childrens,Fiction,Null,Null,"Scholastic Paperbacks (2002), Edition: Reprint, 144 pages",Paperback,Star Wars: Jedi Quest: The Trail of the Jedi: Jedi Quest #02: The Trail Of The Jedi by Jude Watson (2002),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PZ7 .W32755,[0439339189]
A,168426235,1,Anakin Skywalker (Star Wars: Episode 1: Journal),"Strasser, Todd",Todd Strasser,0,0,1999,Laurelhurst,Laurelhurst3,Childrens,Fiction,Null,Null,"Scholastic Paperbacks (1999), Edition: First Printing, 112 pages",Paperback,Anakin Skywalker (Star Wars: Episode 1: Journal) by Todd Strasser (1999),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Science Fiction|Science fiction|science fiction,813.54,English,English,PZ7 .S899,[0590520938]
A,168426258,1,Point Blank (Alex Rider Adventure),"Horowitz, Anthony",Anthony Horowitz,0,0,2003,Laurelhurst,Laurelhurst3,Childrens,Fiction,Null,Null,"Speak (2003), Edition: Reprint, 240 pages",Paperback,Point Blank (Alex Rider Adventure) by Anthony Horowitz (2003),1945-1999 > 20th Century > English > Fiction > Literature > Modern Period,"Alps, French (France) > Fiction|Children's stories|Cloning > Fiction|Cloning > Juvenile fiction|England > Fiction|England > Juvenile fiction|England > fiction|France > Fiction|Orphans > Fiction|Orphans > Juvenile fiction|Schools > FIction|Schools > Fiction|Schools > Juvenile Fiction|Schools > Juvenile fiction|Schools > fiction|Spies > Fiction|Spies > Juvenile fiction|Spy stories",823.914,English,English,PZ7 .H7875,[014250050X]
A,168426322,1,"Star Wars, Episode 1: Anakin's Pit Droid (Step into Reading)","Korman, Justine",Justine Korman,0,0,2000,Laurelhurst,Laurelhurst3,Childrens,Fiction,Null,Null,"LucasBooks for Young Readers (2000), 48 pages",Paperback,"Star Wars, Episode 1: Anakin's Pit Droid (Step into Reading) by Justine Korman (2000)",,,,English,English,PZ7 .K83692,[0375803971]
A,168426332,1,"Star Wars: Dangers of the Core, Episode 1 (Jedi Readers)","Thomas, Jim",Jim Thomas,0,0,1999,Laurelhurst,Laurelhurst3,Childrens,Fiction,Null,Null,"Random House Children's Books (1999), Edition: 3rd ed., 47 pages",Paperback,"Star Wars: Dangers of the Core, Episode 1 (Jedi Readers) by Jim Thomas (1999)",,,,English,English,PZ7 .T366956,[0375800026]
A,168426336,1,"Anakin's Fate: Star Wars Episode I (A Step into Reading Jedi Reader, Step 4)","Cerasini, Marc",Marc Cerasini,0,0,1999,Laurelhurst,Laurelhurst3,Childrens,Fiction,Null,Null,"LucasBooks for Young Readers (1999), Edition: First Edition, 48 pages",Paperback,"Anakin's Fate: Star Wars Episode I (A Step into Reading Jedi Reader, Step 4) by Marc Cerasini (1999)",,Science Fiction|Science fiction|science fiction,,English,English,PZ7 .C3185,[0375800298]
A,168426791,1,Om-Kas-Toe: Blackfeet Twin Captures an Elkdog (Amazing Indian Children Series),"Thomasma, Kenneth",Kenneth Thomasma,0,0,1986,Laurelhurst,Laurelhurst4,Childrens,Fiction,Null,Null,"Grandview Pub Co (1986), Edition: First Edition, 215 pages",Paperback,Om-Kas-Toe: Blackfeet Twin Captures an Elkdog (Amazing Indian Children Series) by Kenneth Thomasma (1986),American And Canadian > Fiction > Literature,Horses > Fiction|Indians of North America > Fiction|Siksika Indians > Fiction|Siksika Indians > Juvenile fiction|Twins > Fiction|horses > Fiction,813,English,English,PZ7 .T3696,[0801088844]
A,168433770,1,Wagon Train 911,"Gilson, Jamie",Jamie Gilson,0,0,1998,Laurelhurst,Laurelhurst5,Childrens,Fiction,Null,Null,"Beech Tree Books (1998), 191 pages",Paperback,Wagon Train 911 by Jamie Gilson (1998),By Topic > Literature > Literature,,800,English,English,PZ7 .G4385,[0688158579]
A,168434619,1,Where the Wild Things Are,"Sendak, Maurice",Maurice Sendak,0,0,2012,Laurelhurst,Laurelhurst5,Childrens,Fiction,Null,Null,"HarperCollins (2012), Edition: 25th anniversary, 48 pages",Hardcover,Where the Wild Things Are by Maurice Sendak (2012),"Education > Social Sciences > Teachers, Methods, and Discipline","Books and reading|Caldecott Medal books|Children's stories|Children's stories > Pictorial works|Critical thinking|Fantasy|Illustrated books, Children's|Language experience approach in education|Miniature books > Specimens|Monsters > Fiction|Monsters > Juvenile fiction|Monsters > Stories|Reading (Elementary)|Sendak, Maurice. Where the wild things are|fantasy",371,English,English,PZ7 .S47,[0060254920]
A,168434774,1,The Bravest Dog Ever: The True Story of Balto (Step into Reading),"Standiford, Natalie",Natalie Standiford,0,0,2014,Laurelhurst,Laurelhurst5,Childrens,Nonfiction,Null,Null,"Random House Books for Young Readers (2014), 48 pages",Ebook,The Bravest Dog Ever: The True Story of Balto (Step into Reading) by Natalie Standiford (2014),Agriculture & Animal Husbandry > Dogs > Domestic Animals > Draft & Other Work Animals > Technology,Alaska > History|Alaska > History > 1867-1959|Balto (Dog)|Balto (Dog) > Juvenile literature|Diphtheria > Alaska > Nome|Diphtheria > Alaska > Nome > Prevention > Juvenile literature|Diphtheria > Nome|Diphtheria > Nome > Juvenile literature|Diphtheria > Nome > Prevention > Juvenile literature|Dogs|Sled dogs|Sled dogs > Alaska > Nome > Biography > Juvenile literature|Sled dogs > Nome > Juvenile literature|dogs,636.73,English,English,SF428.7 .S7,[9780307978868]
A,168434804,1,Bambi (Disney Classic) (Little Golden Book),"Books, Golden",Golden Books,0,0,2004,Laurelhurst,Laurelhurst5,Childrens,Fiction,Null,Null,"Golden/Disney (2004), Edition: Random House ed., 24 pages",Hardcover,Bambi (Disney Classic) (Little Golden Book) by Golden Books (2004),,,,English,English,,[0736423087]
A,168434808,1,If You Give a Pig a Pancake,"Numeroff, Laura",Laura Numeroff,0,0,1998,Laurelhurst,Laurelhurst5,Childrens,Fiction,Null,Null,"Scholastic (1998), 32 pages",Paper Book,If You Give a Pig a Pancake by Laura Numeroff (1998),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Pigs > Fiction|Pigs > Junvenile fiction|Spanish language materials,813.54,English,English,PZ7 .N964,[0439046211]
A,168434476,1,The Tao of Pooh (Winnie-the-Pooh),"Hoff, Benjamin",Benjamin Hoff,0,0,1982,Laurelhurst,Laurelhurst5,Childrens,Nonfiction,Religion,Null,"Dutton (1982), Edition: Later Printing, 176 pages",Hardcover,The Tao of Pooh (Winnie-the-Pooh) by Benjamin Hoff (1982),By Region/Civilization > Of Asian Origin > Other Religions > Religion  > Religions of Chinese Origin > Taoism,"Children > Books and reading > Great Britain > History > 20th century|Children > Great Britain > History|Children's stories, English > History and criticism|Children\'s stories, English > History and criticism|Milne, A. A. (Alan Alexander), 1882-1956 > Characters > Winnie the Pooh|Milne, A. A. (Alan Alexander), 1882-1956 > Characters > Winnie-the-Pooh|Milne, A. A. (Alan Alexander), 1882-1956 > Religion|Taoism|Taoism in literature|Teddy bears in literature|Winnie-the-Pooh (Fictitious character)|taoism",299.514,English,English,PR6025 .I65,[9780525244585]
A,168425321,1,Honus and Me: A Baseball Card Adventure,"Gutman, Dan",Dan Gutman,0,0,2003,Laurelhurst,Laurelhurst6,Childrens,Nonfiction,Null,Null,"HarperCollins (2003), Edition: Reprint, 144 pages",Paperback,Honus and Me: A Baseball Card Adventure by Dan Gutman (2003),Amusements and Recreation > Arts and Recreation > Athletic and outdoor sports and games > Ball And Stick Sports > Ball Sports > Baseball > Culture Studies,"Baseball > Fiction|Baseball cards > Fiction|Time travel > Fiction|Wagner, Honus, 1874-1955 > Fiction|Wagner, Honus, 1874-1955 > Juvenile fiction",796.357083,English,English,PZ7 .G9846,[0380788780]
H,170345424,1,Misty of Chincoteague,"Henry, Marguerite",Marguerite Henry,0,0,2006,Montlake,Montlake4,Childrens,Fiction,Null,Null,"Aladdin (2006), Edition: Reprint, 176 pages",Paperback,Misty of Chincoteague by Marguerite Henry (2006),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Brothers and sisters > Fiction|Brothers and sisters > Juvenile fiction|Chincoteague Island (Va.) > Fiction|Chincoteague Island (Va.) > Juvenile fiction|Chincoteague pony > Fiction|Chincoteague pony > Juvenile fiction|Ponies > Fiction|Ponies > Juvenile fiction,813.54,English,English,PZ10.3 .H43,[1416927832]
A,170877360,1,Reader's Library Grade 3 Theme 5: Houghton Mifflin the Nation's Choice (Houghton Mifflin Reading: The Nation's Choice),"Mifflin, Houghton",Houghton Mifflin,0,0,2000,Montlake,Montlake5,Childrens,Fiction,Null,Null,"HOUGHTON MIFFLIN (2000), 64 pages",Paperback,Reader's Library Grade 3 Theme 5: Houghton Mifflin the Nation's Choice (Houghton Mifflin Reading: The Nation's Choice) by Houghton Mifflin (2000),,,,English,English,,[0618043942]
A,none,1,Sutee,"Cholsaranon, Prapas",Prapas Cholsaranon,1,0,2011,Montlake,Montlake5,Childrens,Fiction,Null,Null,null,null,,,,,Thai,Thai,,9.79E+12
H,168002599,1,Frozen: A Tale of Two Sisters,"Lagonegro, Melissa",Melissa Lagonegro,0,0,2013,Northgate,Northgate1,Childrens,Fiction,Null,Null,"RH/Disney (2013), Edition: Disney Frozen, 32 pages",Paperback,Frozen: A Tale of Two Sisters by Melissa Lagonegro (2013),21st Century > American And Canadian > Fiction > Literature,,813.6,English,English,PZ7 .L14317,[9780736431200]
H,168002624,1,The Right Track (Disney Frozen: Northern Lights) (Step into Reading),"Jordan, Apple",Apple Jordan,0,0,2017,Northgate,Northgate1,Childrens,Fiction,Null,Null,"RH/Disney (2017), Edition: Stk, 24 pages",Paperback,The Right Track (Disney Frozen: Northern Lights) (Step into Reading) by Apple Jordan (2017),,,,English,English,,[0736435883]
H,168002661,1,"Thank You, Angelica: The Rugrats Book of Manners","Schoberle, Cecile",Cecile Schoberle,0,0,1999,Northgate,Northgate1,Childrens,Nonfiction,Null,Null,"Simon Spotlight (1999), Edition: 1, 24 pages",Paperback,"Thank You, Angelica: The Rugrats Book of Manners by Cecile Schoberle (1999)","Customs, Etiquette, Folklore > Etiquette > Social Sciences",,395,English,English,,[0689822618]
H,168002667,1,"Hello, Mrs. Piggle-Wiggle","MacDonald, Betty",Betty MacDonald,0,0,2007,Northgate,Northgate1,Childrens,Fiction,Null,Null,"HarperCollins (2007), 128 pages",Paperback,"Hello, Mrs. Piggle-Wiggle by Betty MacDonald (2007)",1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Behavior > Fiction|Humorous Stories|Humorous stories|Short Stories|Short stories|humorous stories|short stories,813.54,English,English,PZ7,[0064401499]
H,168002708,1,"Playground Bully (Barkley's School for Dogs, No. 1)","Dadey, Debbie",Debbie Dadey,0,0,2001,Northgate,Northgate1,Childrens,Fiction,Null,Null,"Volo (2001), 80 pages",Paperback,"Playground Bully (Barkley's School for Dogs, No. 1) by Debbie Dadey (2001)",American And Canadian > Fiction > Literature,,813,English,English,PZ7 .J7216,[0786815477]
H,168002722,1,The Grouchy Ladybug,"Carle, Eric",Eric Carle,0,0,1999,Northgate,Northgate1,Childrens,Fiction,Null,Null,"HarperFestival (1999), Edition: First ed., 44 pages",Board book,The Grouchy Ladybug by Eric Carle (1999),American And Canadian > Fiction > Literature,Behavior > Fiction|Ladybugs > Fiction|Spanish language materials|Toy and movable books|Toy and movable books > Specimens,813,English,English,PZ7 .C21476,[9780694013203]
H,168002746,1,The Berenstain Bears Trick or Treat (First Time Books),"Berenstain, Stan",Stan Berenstain,0,0,1989,Northgate,Northgate1,Childrens,Fiction,Null,Null,"Random House Books for Young Readers (1989), Edition: 1st, 32 pages",Paperback,The Berenstain Bears Trick or Treat (First Time Books) by Stan Berenstain (1989),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Bears > Fiction|Halloween > Fiction,813.54,English,English,PZ7 .B4483,[0679800913]
H,168002830,1,Whole-y Cow! Fractions are Fun,"Souders, Taryn",Taryn Souders,0,0,2010,Northgate,Northgate1,Childrens,Nonfiction,Null,Null,"Sleeping Bear Press (2010), Edition: 42226th, 32 pages",Hardcover,Whole-y Cow! Fractions are Fun by Taryn Souders (2010),Arithmetic > Arithmetic > Fractions and Decimals > Mathematics > Mathematics and Science,,513.26,English,English,,[1585364606]
H,168080708,1,The Jewel Thief (Little Golden Book),"Bazaldua, Barbara",Barbara Bazaldua,0,0,1998,Northgate,Northgate1,Childrens,Fiction,Null,Null,"Golden Books (1998), Edition: 1st, 24 pages",Hardcover,The Jewel Thief (Little Golden Book) by Barbara Bazaldua (1998),,Dolls > Fiction|Journalists > Fiction|Stealing > Fiction|Thieves > Juvenile fiction,,English,English,PZ7 .B3475 B,[0307988643]
H,168007853,1,Where's Woody? (Disney/Pixar Toy Story) (Pictureback(R)),"Depken, Kristen L.",Kristen L. Depken,0,0,2012,Northgate,Northgate2,Childrens,Fiction,Null,Null,"RH/Disney (2012), Edition: Ina Ltf No, 16 pages",Paperback,Where's Woody? (Disney/Pixar Toy Story) (Pictureback(R)) by Kristen L. Depken (2012),,,,English,English,,[073642850X]
H,168080718,1,Greek Gods and Heroes (Laurel-Leaf Books),"Graves, Robert",Robert Graves,0,0,1965,Northgate,Northgate2,Childrens,Fiction,Null,Null,"Laurel Leaf (1965), Edition: Later Printing, 160 pages",Paperback,Greek Gods and Heroes (Laurel-Leaf Books) by Robert Graves (1965),Classical religion (Greek and Roman religion) > Mythologies > Mythology--Greek religion > Other Religions > Religion ,"Mythology, Greek > Juvenile literature",292.13,English,English,PZ8.1 .G75,[0440932211]
H,168080728,1,The Siege and Fall of Troy,"Graves, Robert",Robert Graves,0,0,2018,Northgate,Northgate2,Childrens,Fiction,Null,Null,"Triangle Square (2018), Edition: 2, 128 pages",Hardcover,The Siege and Fall of Troy by Robert Graves (2018),Ancient World > Ancient history in other areas > Biography and History,Trojan War > Juvenile literatur|Troy > Juvenile literature|Troy (Ancient city) > Juvenile literature|Troy (Extinct city) > Juvenile literature,939,English,English,DF221 .T8,[1609807421]
H,168080787,1,Clorinda,"Kinerk, Robert",Robert Kinerk,0,0,2007,Northgate,Northgate2,Childrens,Fiction,Null,Null,"Simon & Schuster/Paula Wiseman Books (2007), Edition: Reprint, 40 pages",Paperback,Clorinda by Robert Kinerk (2007),,,,English,English,PZ8.3 .K566,[1416939644]
H,168008158,1,If You Lived 100 Years Ago,"McGovern, Ann",Ann McGovern,0,0,1999,Northgate,Northgate3,Childrens,Nonfiction,Null,Null,"Scholastic Paperbacks (1999), Edition: First Scholastic Printing, 80 pages",Paperback,If You Lived 100 Years Ago by Ann McGovern (1999),Biography and History > New York > New York (city) > North America > Northeastern U.S.,New York (N.Y.) > History > 1865-1898 > Juvenile literature|New York (N.Y.) > History > 1898-1951 > Juvenile literature|New York (N.Y.) > History > 19th century|New York (N.Y.) > Social life and customs > 19th century|New York (N.Y.) > Social life and customs > 19th century > Juvenile literature|United States > History > 1865-1921 > Juvenile literature|United States > History > 19th century|United States > Social life and customs > 1865-1918 > Juvenile literature|United States > Social life and customs > 19th century,974.71,"English, Undetermined",English,F128.47 .M48,[0590960016]
H,168008119,1,Watch Me Plant a Garden (WELCOME BOOKS: MAKING THINGS),"Otten, Jack",Jack Otten,0,0,2002,Northgate,Northgate3,Childrens,Nonfiction,Null,Null,"Childrens Pr (2002), 24 pages",Paperback,Watch Me Plant a Garden (WELCOME BOOKS: MAKING THINGS) by Jack Otten (2002),Agriculture & Animal Husbandry > Domestic Gardening > Ornamental plants > Technology,,635.9,English,English,SB406.5 .O88,[0516235931]
H,168007101,1,The Aristocrat: Bo‘tius von OrlamŸnde (Extraordinary Classics Series),"Weiss, Ernst",Ernst Weiss,0,0,1995,Northgate,Northgate3,Childrens,Fiction,Null,Null,"Serpent's Tail (1995), Edition: Main, 202 pages",Paperback,The Aristocrat: Bo‘tius von OrlamŸnde (Extraordinary Classics Series) by Ernst Weiss (1995),1900- > 1900-1944 > 20th Century > Fiction > German > Literature,,833.912,English,English,PT2647 E52 A5713,[1852422629]
H,168007137,1,The wump world,"Peet, Bill",Bill Peet,0,0,1996,Northgate,Northgate3,Childrens,Fiction,Null,Null,"Scholastic, Inc (1996), Edition: Third Printing, 44 pages",Paperback,The wump world by Bill Peet (1996),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Pollution > Fiction|Science Fiction|Science fiction|science fiction,813.54,English,English,PZ7 .P353,[0590617230]
H,168007366,1,"My Brimful Book: Favorite Poems of Childhood, Mother Goose Rhymes, Animal Stories","Bruce, Dana",Dana Bruce,0,0,1960,Northgate,Northgate3,Childrens,Fiction,Null,Null,"Platt & Munk (1960), 64 pages",Hardcover,"My Brimful Book: Favorite Poems of Childhood, Mother Goose Rhymes, Animal Stories by Dana Bruce (1960)","Customs, Etiquette, Folklore > Folklore > Rhymes and rhyming games > Social Sciences",Children's literature|Children\'s literature|children's literature,398.8,English,,PZ5 .B7885,[0448420082]
H,168007769,1,Dig!,"Zimmerman, Andrea",Andrea Zimmerman,0,0,2014,Northgate,Northgate3,Childrens,Fiction,Null,Null,"HMH Books for Young Readers (2014), Edition: Brdbk, 30 pages",Board book,Dig! by Andrea Zimmerman (2014),,,,English,English,PZ7 .Z618,[0544173880]
H,168007780,1,DK First Dictionary,"Millard, Anne",Anne Millard,0,0,2002,Northgate,Northgate3,Childrens,Nonfiction,Null,Null,"DK Children (2002), Edition: 1st, 256 pages",Hardcover,DK First Dictionary by Anne Millard (2002),Dictionaries of standard English > English > Language,,423,English,English,PE1628.5 .D54,[0789485796]
H,168007828,1,Spot Goes to the Farm,"Hill, Eric",Eric Hill,0,0,1987,Northgate,Northgate3,Childrens,Nonfiction,Null,Null,"Putnam Juvenile (1987), Edition: 1st American ed, 24 pages",Hardcover,Spot Goes to the Farm by Eric Hill (1987),Agricultural products > Economics > Production > Social Sciences,Animal sounds > Fiction|Animals > Infancy > Fiction|Dogs > Fiction|Domestic animals > Fiction|Toy and movable books|Toy and movable books > Specimens,338.1,English,English,PZ7 .H5516,[0399214348]
H,168007864,1,I Knew You Could! A Book for All the Stops in Your Life,"Dorfman, Craig",Craig Dorfman,0,0,2003,Northgate,Northgate3,Childrens,Fiction,Null,Null,"Scholastic Inc. (2003), 32 pages",Paperback,I Knew You Could! A Book for All the Stops in Your Life by Craig Dorfman (2003),Analogy; Correspondence  > Logic > Philosophy and Psychology,Railroads > Trains > Fiction|Self-reliance > Fiction|Stories in rhyme,169,English,English,PZ8.3 .D734,[043967249X]
H,168007885,1,Baby Einstein The ABCs of ART A-M,Hyperion,Hyperion,0,0,2004,Northgate,Northgate3,Childrens,Nonfiction,Null,Null,hyperion (2004),Hardcover,Baby Einstein The ABCs of ART A-M by Hyperion (2004),,,,English,,,[0786838078]
H,168007895,1,Can You See What I See?: Dinosaurs: Picture Puzzles to Search and Solve,"Wick, Walter",Walter Wick,0,0,2006,Northgate,Northgate3,Childrens,Nonfiction,Null,Null,"Cartwheel Books (2006), Edition: Brdbk, 16 pages",Board book,Can You See What I See?: Dinosaurs: Picture Puzzles to Search and Solve by Walter Wick (2006),"Amusements and Recreation > Arts and Recreation > Board games, mental puzzles > Indoor Amusements",,793.73,English,English,QE861.5 .W53,[0439832977]
H,168007918,1,There Are No Polar Bears Down There (Voyages: Setting Out),"Hart, Trish",Trish Hart,0,0,1994,Northgate,Northgate3,Childrens,Nonfiction,Null,Null,"Sra (1994), 11 pages",Paperback,There Are No Polar Bears Down There (Voyages: Setting Out) by Trish Hart (1994),Geographic distribution of animals > Mathematics and Science > Pacific > Polar Regions > Specific Topics In Zoology > Zoology,,591.9989,English,English,,[038303597X]
H,168007932,1,"Does a Kangaroo Have a Mother, Too?","Carle, Eric",Eric Carle,0,0,2005,Northgate,Northgate3,Childrens,Nonfiction,Null,Null,"HarperCollins (2005), Edition: Reprint, 32 pages",Paperback,"Does a Kangaroo Have a Mother, Too? by Eric Carle (2005)",Embryology > Mathematics and Science > Specific Topics In Zoology > Zoology,Animals > Infancy|Animals > Infancy > Juvenile literature,591.39,English,English,QL763 .C37,[006443642X]
H,168007942,1,Walt Disney's Bambi: Friends of the Forest (A Little Golden Book),Disney,Disney,0,1,1975,Northgate,Northgate3,Childrens,Fiction,Null,Null,"Western Pub. Co (1975), 23 pages",Hardcover,Walt Disney's Bambi: Friends of the Forest (A Little Golden Book) by Disney (1975),American And Canadian > Fiction > Literature,,813,English,,PZ10.3 .W16,[0307021009]
H,168008030,1,On the Moon,"Milbourne, Anna",Anna Milbourne,0,0,2004,Northgate,Northgate3,Childrens,Nonfiction,Null,Null,"Usborne Books (2004), 24 pages",Hardcover,On the Moon by Anna Milbourne (2004),Astronomical objects and astrophysics > Astronomy > Mathematics and Science > Moon,,523.3,English,English,TL799 .M6,[0794506178]
H,168008039,1,Lots of Things to Find and Color (Usborne Activities),"Watt, Fiona",Fiona Watt,0,0,2011,Northgate,Northgate3,Childrens,Nonfiction,Null,Null,"Usborne Pub Ltd (2011), 96 pages",Paperback,Lots of Things to Find and Color (Usborne Activities) by Fiona Watt (2011),,,,English,English,,[0794529631]
H,168008044,1,"Wendy Whale, A Tale of a Huge Creature","Tate, Suzanne",Suzanne Tate,0,0,2014,Northgate,Northgate3,Childrens,Nonfiction,Null,Null,"Nags Head Art, Inc. (2014), Edition: First, 28 pages",Paperback,"Wendy Whale, A Tale of a Huge Creature by Suzanne Tate (2014)",,,,English,,,[1878405624]
